INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.466]: gateway.publicAddress.httpPort property is not set. Defaulting to  
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.476]: gateway.publicAddress.httpsPort property is not set. Defaulting to  
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.486]: gateway.useProxyForwardedHeader property is not set. Defaulting to false 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.498]: gateway.resolveHostNames property is not set. Defaulting to false 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.508]: Setup complete 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [Commissioning                 ] [23:21:07.573]: Resources needing commissioning: eula,authSetup,connections,activated 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [Commissioning                 ] [23:21:07.573]: Commissioning State updated from commissioning to needs_commissioning 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.645]: Starting up 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [C.SecureRandomProvider        ] [23:21:07.798]: Secure random seed generated in 0ms 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [o.e.j.s.Server                ] [23:21:07.800]: jetty-10.0.20; built: 2024-01-29T20:46:45.278Z; git: 3a745c71c23682146f262b99f4ddc4c1bc41630c; jvm 17.0.13+11-LTS 
INFO   | jvm 1    | 2025/02/27 23:21:08 | W [o.e.j.u.DeprecationWarning    ] [23:21:07.912]: Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner 
INFO   | jvm 1    | 2025/02/27 23:21:08 | I [o.e.j.s.s.DefaultSessionIdManager] [23:21:07.918]: Session workerName=node0 
INFO   | jvm 1    | 2025/02/27 23:21:08 | I [o.e.j.s.h.ContextHandler      ] [23:21:07.965]: Started o.e.j.w.WebAppContext@42bebb23{Commissioning,/,file:///home/boschrexroth/ctrlx-ignition-edge/bin/webserver/webapps/commissioning/,AVAILABLE} 
INFO   | jvm 1    | 2025/02/27 23:21:08 | I [o.e.j.s.AbstractConnector     ] [23:21:07.976]: Started ServerConnector@2cec5a2d{HTTP/1.1, (http/1.1)}{0.0.0.0:8088} 
INFO   | jvm 1    | 2025/02/27 23:21:08 | I [o.e.j.s.Server                ] [23:21:07.979]: Started Server@6a1e0608{STARTING}[10.0.20,sto=10000] @2174ms 
STATUS | wrapper  | 2025/02/27 23:21:16 | TERM trapped.  Shutting down.
INFO   | jvm 1    | 2025/02/27 23:21:17 | I [o.e.j.s.Server                ] [23:21:17.216]: Stopped Server@6a1e0608{STOPPING}[10.0.20,sto=10000] 
INFO   | jvm 1    | 2025/02/27 23:21:17 | I [o.e.j.s.Server                ] [23:21:17.216]: Shutdown Server@6a1e0608{STOPPING}[10.0.20,sto=10000] 
INFO   | jvm 1    | 2025/02/27 23:21:17 | I [o.e.j.s.AbstractConnector     ] [23:21:17.223]: Stopped ServerConnector@2cec5a2d{HTTP/1.1, (http/1.1)}{0.0.0.0:8088} 
INFO   | jvm 1    | 2025/02/27 23:21:17 | I [o.e.j.s.h.ContextHandler      ] [23:21:17.229]: Stopped o.e.j.w.WebAppContext@42bebb23{Commissioning,/,file:///home/boschrexroth/ctrlx-ignition-edge/bin/webserver/webapps/commissioning/,STOPPED} 
STATUS | wrapper  | 2025/02/27 23:21:17 | <-- Wrapper Stopped
STATUS | wrapper  | 2025/02/27 23:21:53 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2025/02/27 23:21:53 | Java Service Wrapper Standard Edition 64-bit 3.5.42
STATUS | wrapper  | 2025/02/27 23:21:53 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2025/02/27 23:21:53 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2025/02/27 23:21:53 |   Licensed to Inductive Automation for Inductive Automation
STATUS | wrapper  | 2025/02/27 23:21:53 | 
STATUS | wrapper  | 2025/02/27 23:21:54 | Launching a JVM...
INFO   | jvm 1    | 2025/02/27 23:21:54 | WrapperManager: Initializing...
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [g.CompositeClassRejectListFilter] [23:21:55.392]: Initialization performed successfully 
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [g.CompositeClassRejectListFilter] [23:21:55.394]: JVM-wide ObjectInputFilter set up successfully 
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [g.CompositeClassRejectListFilter] [23:21:55.395]: Platform serialFilter has 88 pattern(s) 
INFO   | jvm 1    | 2025/02/27 23:21:55 | W [WebResourceManagerImpl        ] [23:21:55.422]: Unable to read "gateway.metroKeystoreAlias" gateway.xml property. Assuming metro keystore alias is: metro-key 
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [g.WebServerManager            ] [23:21:55.675]: Starting setup 
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [g.WebServerManager            ] [23:21:55.683]: Setup complete 
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [Commissioning                 ] [23:21:55.766]: Resources needing commissioning: eula,authSetup,connections,activated 
